variable	method	TF	odds	conf_int_l	conf_int_u	pvalue	access
is_coexpressed	method1	AFF1	4.59078184293167	4.49462592822868	4.68693775763466	0	ENCSR241LIH
is_in_msigdb	method1	AFF1	0.00182243836743255	0.00147075470909078	0.00217412202577455	3.09066216393625e-24	ENCSR241LIH
is_in_chip_atlas	method1	AFF1	1.34113262176834	1.29279518350971	1.38947006002697	0	ENCSR241LIH
is_ppi	method1	AFF1	4.964387963094	4.597966150831	5.330809775357	2.26992818544895e-155	ENCSR241LIH
is_in_dorothea	method1	AFF1	1.15268436708175	1.09767309927286	1.20769563489065	0	ENCSR241LIH
has_motif	method1	AFF1	0.00182243836743255	0.00147075470909078	0.00217412202577455	3.09066216393625e-24	ENCSR241LIH
network	method1	AFF1					ENCSR241LIH
is_coexpressed	method2	AFF1	5.05553090119329	4.96033000258288	5.1507317998037	0	ENCSR241LIH
is_in_msigdb	method2	AFF1	0.00195536175203382	0.00160250692685422	0.00230821657721353	1.75966002392347e-27	ENCSR241LIH
is_in_chip_atlas	method2	AFF1	2.75038592734442	2.68532260525702	2.81544924943182	0	ENCSR241LIH
is_ppi	method2	AFF1	3.7486659735244	3.48787321255752	4.00945873449128	1.24329669746877e-174	ENCSR241LIH
is_in_dorothea	method2	AFF1	2.79519733638923	2.7078262126306	2.88256846014786	0	ENCSR241LIH
has_motif	method2	AFF1	0.00195536175203382	0.00160250692685422	0.00230821657721353	1.75966002392347e-27	ENCSR241LIH
network	method2	AFF1					ENCSR241LIH
is_coexpressed	method3	AFF1	3.70417438040289	3.62365364606786	3.78469511473791	0	ENCSR241LIH
is_in_msigdb	method3	AFF1	0.00196246069144369	0.00162056262436128	0.00230435875852598	2.31057395911844e-29	ENCSR241LIH
is_in_chip_atlas	method3	AFF1	2.44352485282594	2.3706222412178	2.51642746443407	0	ENCSR241LIH
is_ppi	method3	AFF1	3.24711924491338	3.00670897716591	3.48752951266085	1.98955599851685e-154	ENCSR241LIH
is_in_dorothea	method3	AFF1	2.27620879536799	2.18464100409906	2.36777658663691	0	ENCSR241LIH
has_motif	method3	AFF1	0.00196246069144369	0.00162056262436128	0.00230435875852598	2.31057395911844e-29	ENCSR241LIH
network	method3	AFF1					ENCSR241LIH
is_coexpressed	method1	AFF1	3.86953495843657	3.78559746172665	3.95347245514648	0	ENCSR426URK
is_in_msigdb	method1	AFF1	0.00876308318886816	0.00776945163967538	0.0097567147380606	6.02574957296889e-67	ENCSR426URK
is_in_chip_atlas	method1	AFF1	1.4826444154111	1.44366396046107	1.52162487036112	0	ENCSR426URK
is_ppi	method1	AFF1	3.38640238522132	3.12931895089151	3.64348581955114	5.5859255027469e-147	ENCSR426URK
is_in_dorothea	method1	AFF1	1.35584739509348	1.3131904034345	1.39850438675245	0	ENCSR426URK
has_motif	method1	AFF1	0.00876308318886816	0.00776945163967538	0.0097567147380606	6.02574957296889e-67	ENCSR426URK
network	method1	AFF1					ENCSR426URK
is_coexpressed	method2	AFF1	3.84696245391945	3.77518783493621	3.9187370729027	0	ENCSR426URK
is_in_msigdb	method2	AFF1	0.00835253537203311	0.0074445134505095	0.0092605572935569	1.14804244748778e-72	ENCSR426URK
